Date,Time (utc),Region,Magnitude,Depth (km),Latitude,Longitude,Mode,Map
17/02/2019,20:36:57,Philippine Islands Region,4.7,179,20.65 N,122.29 E,A,-
17/02/2019,19:22:28,Fiji Islands Region,5.2,501,20.21 S,177.90 W,A,-
17/02/2019,19:21:23,"Off East Coast Of Honshu, Japan",5.0,10,36.38 N,142.33 E,A,-
17/02/2019,19:07:46,Southern Greece,5.0,10,36.65 N,22.82 E,A,-
17/02/2019,17:03:16,Afghanistan-Tajikistan Border Region,3.6,80,36.55 N,71.34 E,M,-
17/02/2019,14:35:56,New Ireland Region P.N.G,6.1,395,3.46 S,152.14 E,A,-
17/02/2019,13:22:08,Jujuy Province Argentina,5.2,10,23.55 S,64.73 W,A,-
17/02/2019,11:29:18,South Georgial Islands Region,5.2,10,55.02 S,31.68 W,A,-
17/02/2019,09:26:36,South of Sumbawa Indonesia,4.6,10,11.66 S,118.69 E,A,-
17/02/2019,04:38:21,60 Km Southeast Of Kalat,2.9,12,28.42 N,66.72 E,M,-
17/02/2019,04:03:50,Bismarck Sea,4.7,118,3.88 S,146.10 E,A,-
17/02/2019,02:58:36,Myanmar,4.7,40,22.47 N,92.80 E,A,-
17/02/2019,02:13:40,Northeast of Taiwan,4.4,10,25.33N,124.61E,A,-
16/02/2019,22:54:07,"Unimak Island, Aleutian, Alaska",5.0,10,53.6 N,163.1 E,A,-
16/02/2019,11:01:53,Near North Coast Of Irian Jaya,4.8,10,2.38 S,140.16 E,A,-
16/02/2019,10:01:29,Southwestern Ryukyu Islands Japan,5.0,10,25.39 N,125.09 E,A,-
16/02/2019,06:45:57,Azores Islands Rgion,5.1,10,41.45 N,29.54 W,A,-
16/02/2019,06:39:51,Near North Coast of Irian Jaya,5.0,10,2.47 S,140.12 E,A,-
16/02/2019,02:53:16,Kuril Islands,4.6,10,45.1 N,151.8 E,A,-
16/02/2019,01:27:07,"Southern Sumatra, Indonesia",4.8,10,4.6 S,101.9 E,A,-
15/02/2019,18:25:41,58KM NE OF BELA,3.5,28,26.67 N,166.59 E,M,-
15/02/2019,18:11:51,"Andreanof Islands, Aleutian Islands",5.2,94,51.58 N,176.78 W,A,-
15/02/2019,16:20:59,"Mindanao, Philippines",5.3,123,6.73 N,126.87 E,A,-
15/02/2019,13:40:51,Tonga Islands,5.4,289,15.69 S,174.86 W,A,-
15/02/2019,12:24:34,"35 Km NW of Larkana, Sindh",3.0,14,27.75N,67.92E,M,-
15/02/2019,12:24:16,69KM NW OF DADU,3.5,10,26.99 N,67.16 E,M,-
15/02/2019,09:51:40,"Near Dadu,  Sindh",3.5,12,26.93 N,67.54 E,M,-
15/02/2019,07:22:08,Oaxaca Mexico,4.8,10,16.39 N,95.39 W,A,-
15/02/2019,04:29:37,New Ireland Region P.N.G.,4.9,10,1.78 S,151.09 E,A,-
15/02/2019,03:46:25,Fiji Islands Region,5.0,10,17.92 S,176.76 W,A,-
15/02/2019,02:50:26,Timor Region.,4.7,70,9.42 S,123.61 E,A,-
14/02/2019,20:43:51,Northern Mid Atlantic Ridge,5.0,10,34.79 N,35.47 W,A,-
14/02/2019,19:57:09,Northern Mid Atlantic Ridge,5.5,10,35.52 N,36.40 W,A,-
14/02/2019,19:09:32,Afghanistan-Tajikistan Border Region.,4.0,90,37.12 N,71.57 E,M,-
14/02/2019,14:33:17,Central Peru,5.5,10,12.17 S,74.30 W,A,-
14/02/2019,11:57:06,"Mindanao, Philippines",4.6,10,9.88 N,126.69 E,A,-
14/02/2019,03:42:41,"Halmahera, Indonesia",4.7,10,2.32 N,128.92 E,A,-
14/02/2019,01:45:45,Near S. Coast Of Honshu Japan,4.2,361,33.77 N,137.10 E,A,-
14/02/2019,00:34:16,Vancouver Islands Canada Region,5.2,10,50.86 N,130.16 W,A,-
13/02/2019,23:41:52,"Java, Indonesia",5.3,90,7.29 S,105.49 E,A,-
13/02/2019,22:26:00,"Hindu Kush Region, Afghanistan",4.4,10,36.98 N,68.06 E,M,-
13/02/2019,19:58:46,South Of Java Indonesia,4.8,75,9.19 S,112.51 E,A,-
13/02/2019,18:38:37,"Irian Jaya , Indonesia",4.7,10,2.21 S,138.41 E,A,-
13/02/2019,12:33:15,"Mindanao, Philippines",4.9,10,9.67 N,126.72 E,A,-
13/02/2019,11:43:58,Kuril Islands,5.0,10,45.28 N,151.52 E,A,-
13/02/2019,10:53:41,South of Tonga Islands,5.2,10,24.60 S,174.50 W,A,-
13/02/2019,10:02:51,Kuril Islands,5.1,10,45.39 N,151.47 E,A,-
13/02/2019,04:07:38,Karmadec Islanads Region,5.2,344,31.54 S,176.89 W,A,-
13/02/2019,02:05:49,Kashmir-India Border Region,3.3,3,32.38 N,76.57 E,M,-
12/02/2019,17:14:44,Turkey,4.8,84,40.78 N,33.10 E,A,-
12/02/2019,14:55:43,Hakkaido Japan Region,4.0,223,44.45 N,142.21 E,A,-
12/02/2019,12:34:15,Mariana Islands.,5.9,100,19.01 N,145.90 E,A,-
12/02/2019,09:45:52,Bismarck Sea,5.0,10,3.36 S,146.14 E,A,-
12/02/2019,07:23:44,"Hindu Kush Region, Afghanistan",4.3,202,36.67 N,70.91 E,M,-
12/02/2019,01:32:28,Bay of Bangal,5.7,10,14.35N,85.66E,A,-
11/02/2019,17:28:25,"Kamchatka Peninsula, Russia",5.5,63,52.26N,156.13E,A,-
11/02/2019,14:54:15,Afghanistan-Tajikistan Border Region.,3.8,180,36.56 N,71.26 E,M,-
11/02/2019,04:12:36,Southern Iran,4.7,40,26.96 N,55.62 E,A,-
11/02/2019,00:08:35,El Salvador,5.0,10,13.45 N,88.08 W,A,-
10/02/2019,22:54:37,Flores Sea,4.7,476,7.28 S,122.94 E,A,-
10/02/2019,18:03:43,Tajikistan-Xinjiang Border Region,4.4,20,38.51 N,73.90 E,M,-
10/02/2019,14:33:38,Philippine Islands Region,5.3,10,10.23 N,126.52 E,A,-
10/02/2019,13:27:11,Tonga Islands,5.5,10,15.12 S,173.40 W,A,-
10/02/2019,10:54:51,Southern Iran.,5.2,10,26.95 S,55.57 E,A,-
10/02/2019,05:34:21,Ryukyu Islands Japan,5.2,10,28.13 N,129.55 E,A,-
10/02/2019,03:22:05,Myanmar - India Border Region,5.6,7,2.7.37 N,96.57 E,A,-
10/02/2019,02:05:00,Northern Mid Atlantic Ridge,5.0,46,0.41N,126.48 E,A,-
10/02/2019,01:08:47,Northern Molucca Sea,5.0,0,2.81N,127.09 E,A,-
09/02/2019,22:21:22,Philippine Islands Region,5.1,82,10.05N,126.58 E,A,-
09/02/2019,21:26:23,Western Iran,4.9,5,31.38N,49.95E,A,-
09/02/2019,15:03:43,Fiji Islands Region,5.7,551,20.66 S,178.36 W,A,-
09/02/2019,02:24:15,"Hokkaido, Japan Region",5.5,54,43.93 N,145.59 E,A,-
08/02/2019,22:18:25,"25 Km North of Naran, KPK",3.9,15,35.12 N,73.59 E,M,-
08/02/2019,21:09:59,"Mindanao, Philippines",5.0,10,9.93 N,126.39 E,A,-
08/02/2019,16:09:37,Philippine Islands Region,5.1,100,10.19 N,126.48 E,A,-
08/02/2019,15:28:20,Philippine Islands Region,4.7,10,11.10 N,126.60 E,A,-
08/02/2019,13:51:20,"Mindanao, Philippines",4.7,10,9.94 N,126.72 E,A,-
08/02/2019,12:45:38,"Mindanao, Philippines",5.0,10,9.84 N,126.40 E,A,-
08/02/2019,11:55:07,"Mindanao, Philippines",5.9,10,9.85 N,126.36 E,A,-
08/02/2019,08:23:00,Northwestern Kashmir,3.5,23,28.202,76.424,M,-
08/02/2019,03:11:05,Southwetern Indian Ridge,5.5,10,32.95S,57.08E,A,-
07/02/2019,19:26:48,Off Coast of Pakistan,3.7,35,24.74 N,62.76 E,M,-
07/02/2019,13:57:15,Southeastern Afghanistan,3.8,14,34.72 N,68.58 E,M,-
07/02/2019,10:11:09,Near North Coast of Irian Jaya,4.8,10,2.06 S,139.18 E,A,-
07/02/2019,10:03:05,"Halmahera, Indonesia",5.3,10,2.48 N,128.85 E,A,-
07/02/2019,07:57:53,"Hokkaido, Japan Region",5.1,10,42.06 N,143.60 E,A,-
07/02/2019,04:15:30,Northern Molucca Sea,5.4,23,1.51 N,126.58 E,A,-
07/02/2019,01:41:25,Solomon Islands,5.4,10,8.45 S,161.30 E,A,-
06/02/2019,22:14:02,"Sumba Region, Indonesia",4.9,184,8.22 S,117.48 E,A,-
06/02/2019,19:49:07,"25 Km South of Mianwali, Punjab",3.0,10,32.33N,73.12E,M,-
06/02/2019,18:10:00,"20 Km North of Kupwara, in Indian Occupied Kashmir",3.6,10,34.76N,74.27E,M,-
06/02/2019,18:09:48,29KM NE OF KEL,3.6,10,35.08 N,74.39 E,M,-
06/02/2019,17:56:50,Off Coast of Northern Chile,5.2,10,20.01 S,71.17 W,A,-
06/02/2019,17:44:46,Mariana Islands Region,5.4,10,21.31 N,146.12 E,A,-
06/02/2019,16:43:00,"Hindu Kush Region, Afghanistan",4.7,90,36.72N,70.48E,M,-
06/02/2019,11:55:07,"Halmahera, Indonesia",4.8,10,2.53 N,128.94 E,A,-
06/02/2019,10:25:24,"Luzon, Phillipines.",5.4,147,15.86 N,120.54 E,A,-
06/02/2019,04:23:40,"Sulawesi, Indonesia.",4.7,10,3.06 S,118.59 E,A,-
06/02/2019,01:45:22,"40 Km North of Srinagr, Indian Held Kashmir",3.7,35,34.43 N,74.94 E,M,-
05/02/2019,23:17:42,"Halmahera , Indonesia",5.1,10,2.84 N,128.55 E,A,-
05/02/2019,22:38:47,"Hindu Kush Region, Afghanistan",4.5,189,36.76 N,70.44 E,M,-
05/02/2019,21:11:30,"100 Km North Of Barmula, AJK",4.5,60,35.08 N,74.66 E,M,-
05/02/2019,21:11:30,41KM SE OF CHILAS,3.9,34,35.05 N,74.16 E,M,-
05/02/2019,19:06:07,"70 Km North of Srinagar, AJK",3.8,30,34.82 N,74.88 E,M,-
05/02/2019,17:14:10,31KM SE OF JALKHAD,3.6,34,34.993,74.278,M,-
05/02/2019,16:47:09,"104 Km Northeast of Muzaffarabad, AJK",5.6,40,35.08 N,74.29 E,M,-
05/02/2019,16:47:06,22KM NE OF JALKHAD,5.7,24,35.057,74.170,M,-
05/02/2019,16:15:34,Mexico - Guatemala Border Region,5.0,165,15.65 N,92.42 W,A,-
05/02/2019,15:11:58,Turkey,4.6,40,36.44 N,30.15 E,A,-
05/02/2019,14:04:25,130 Km North of Mingora pakistan,3.5,50,35.91 N,72.89 E,M,-
05/02/2019,14:03:32,Kashmir-India Border Region,3.7,14,32.37 N,76.37 E,M,-
05/02/2019,13:39:00,Eastern Kashmir,4.8,20,34.48N,75.01E,M,-
05/02/2019,13:38:33,10KM NE OF JALKHAD,4.3,34,35.04 N,74.02 E,M,-
05/02/2019,12:44:10,Kashmir-India Border Region,2.8,5,32.31 N,76.41 E,M,-
05/02/2019,12:22:00,"Hindu Kush Region, Afghanistan",4.9,100,36.66N,70.92E,M,-
05/02/2019,10:24:36,Kashmir-India Border Region,3.8,3,32.50 N,76.46 E,M,-
05/02/2019,10:22:42,Kashmir-India Border Region,3.3,5,32.37 N,76.45 E,M,-
05/02/2019,10:21:03,Kashmir-India Border Region,3.5,5,32.40 N,76.45 E,M,-
05/02/2019,10:21:00,Southern India.,4.0,50,21.40 N,72.54 E,M,-
05/02/2019,10:06:55,India-Pakistan Border Region.,4.4,40,29.00 N,72.07 E,M,-
05/02/2019,09:39:39,Southeastern Afghanistan,2.5,78,31.97 N,67.57 E,M,-
05/02/2019,05:18:48,170 km west of Khuzdar,3.2,76,27.95 N,64.79 E,M,-
05/02/2019,02:26:11,Greece-Albania Border Region.,5.4,10,39.05 N,20.92 E,A,-
05/02/2019,00:45:31,Afghanistan-Tajikistan Border Region.,4.5,80,36.53 N,71.59 E,M,-
04/02/2019,23:45:57,East of kuril islands.,4.9,10,44.12 N,152.72 E,A,-
04/02/2019,19:29:54,"Southern Sumatra, Indonesia",5.9,10,0.33S,98.11E,A,-
04/02/2019,18:07:58,"Southeast of Honshu, Japan",5.5,10,30.88N,137.17E,A,-
04/02/2019,17:45:41,Near Coast of Ecudor,5.5,10,2.38S,79.84W,A,-
04/02/2019,17:41:11,Southern Greece,5.0,10,37.88N,21.04E,A,-
04/02/2019,16:10:21,Tajikistan.,4.6,124,37.59 N,72.19 E,M,-
04/02/2019,15:49:28,Mariana Islands Region.,5.0,10,21.22 N,144.97 E,A,-
04/02/2019,15:19:44,Fiji Islands Region.,5.0,624,18.1 S,178.0 W,A,-
04/02/2019,14:33:48,Mona Passage,5.3,67,18.07 N,68.58 N,A,-
04/02/2019,12:55:28,"Luzon, Phillipines.",5.2,10,17.19 N,121.06 E,A,-
04/02/2019,12:33:44,Tajikistan,4.5,31,38.9 N,69.13 E,M,-
04/02/2019,10:38:10,Tonga Islands Region.,5.6,145,23.78 S,175.39 W,A,-
04/02/2019,06:12:25,Tajikistan-Xinjiang Border Region,4.8,128,38.46 N,74.00 E,M,-
04/02/2019,03:51:43,"Kuril Islands,",5.0,10,46.54 N,152.99 E,A,-
04/02/2019,00:29:23,"70 Km NW of Hangu, Pakistan",2.8,80,33.79N,70.36 E,M,-
03/02/2019,19:33:15,"Hindu Kush Region, Afghanistan",4.0,80,36.18 N,68.16 E,M,-
03/02/2019,07:36:50,"Seram, Indonesia.",5.6,10,3.31 S,130.76 E,A,-
03/02/2019,04:45:54,"Near Islands, Aleutian Islands.",5.2,10,52.20 N,147.15 E,A,-
02/02/2019,19:10:45,"Eastern Honshu, Japan",4.9,293,36.82 N,139.69 E,A,-
02/02/2019,13:29:13,"Landhi, Karachi",2.8,10,24.85 N,67.20 E,M,-
02/02/2019,12:04:34,"Hindu Kush Region, Afghanistan (Depth revised)",5.8,208,36.56 N,70.81 E,M,-
02/02/2019,11:01:43,"Southern Sumatra, Indonesia",5.9,10,2.31 S,100.96 E,A,-
02/02/2019,10:59:30,"Southern Sumatra, Indonesia",6.0,10,2.80 S,100.13 E,A,-
02/02/2019,09:58:12,"Southern Sumatra, Indonesia",5.4,10,2.85 S,100.05 E,A,-
02/02/2019,09:27:35,"Southern Sumatra, Indonesia",6.1,10,2.36 S,100.12 E,A,-
02/02/2019,09:03:22,"Southern Sumatra, Indonesia",5.3,73,2.18 S,100.98 E,A,-
02/02/2019,07:38:52,Near Karachi,2.9,15,24.96 N,67.08 E,M,-
02/02/2019,07:02:07,Tonga Islands,5.6,306,15.69 S,174.94 W,A,-
02/02/2019,01:10:56,Northern Molucca Sea,5.6,10,0.92 N,125.45 E,A,-
01/02/2019,21:54:43,Kazakhstan-Xinjiang Border Region,5.3,16,46.87 N,83.34 Eq,A,-
01/02/2019,19:43:56,16KM SE OF CHILAS,3.8,25,35.32 N,74.22 E,M,-
01/02/2019,19:16:27,"Southern Sumatra, Indonesia",4.9,10,2.98 S,99.99 E,A,-
01/02/2019,16:14:14,"Near Coast of Chiapas, Mexico",6.4,91,14.84 N,92.18 W,A,-
01/02/2019,15:31:06,"50 Km NE of Loralai, Balochistan",3.5,70,30.53N,68.09E,M,-
01/02/2019,15:20:55,Northern Mid Atlantic Ridge,4.8,10,45.62 N,27.75 W,A,-
01/02/2019,14:51:16,Mariana Islands Region,4.7,10,21.28 N,144.26 E,A,-
01/02/2019,10:29:50,"Dodecanese Islands, Greece",5.0,10,35.82 N,27.31 E,A,-
01/02/2019,09:40:56,Mariana Islands Region,5.2,10,21.36 N,144.53 E,A,-
31/01/2019,20:50:33,"Halmahera, Indonesia",4.3,218,2.94 N,128.79 E,A,-
31/01/2019,18:17:14,Mariana Islands Region,4.9,10,21.23 N,143.93 E,A,-
31/01/2019,15:16:11,Afghanistan-Tajikistan Border Region.,3.4,100,36.24 N,71.62 E,M,-
31/01/2019,14:57:00,Tajikistan,3.7,120,37.02N,72.60E,M,-
31/01/2019,14:34:00,South of Fiji Islands,5.5,500,24.37S,179.67E,A,-
31/01/2019,14:32:00,Afghanistan-Tajikistan Border Region.,4.0,50,37.72N,71.20E,M,-
31/01/2019,13:09:54,Costa Rica,5.2,10,9.15 N,83.66 W,A,-
31/01/2019,10:18:07,South of Panama,4.9,10,6.05 N,82.48 W,A,-
31/01/2019,09:37:33,Fiji Islands Region,5.1,557,18.00 S,177.92 W,A,-
31/01/2019,05:50:20,Vanuatu Islands,5.1,187,19.53 S,169.47 E,A,-
31/01/2019,04:40:31,El Salvador,5.0,183,13.75 N,88.29 W,A,-
31/01/2019,01:24:00,Komandorskiye Ostrova Region,4.8,10,54.25 N,164.46 E,A,-
31/01/2019,00:16:51,Gulf of California,5.0,10,24.05 N,108.98 W,A,-
30/01/2019,15:31:34,Central East Pacific Rise,5.1,10,4.64 S,105.38 W,A,-
30/01/2019,15:14:52,Taiwan Region,5.2,10,21.72 N,120.58 E,A,-
30/01/2019,09:28:59,"Mindanao, Philippines",4.7,135,9.77 N,126.42 E,A,-
30/01/2019,07:44:44,Near Coast of Northern Chile,5.6,40,25.93 S,70.52 W,A,-
30/01/2019,06:23:50,"Samoa Islands, Region",5.2,10,15.19 S,172.97 W,A,-
30/01/2019,05:21:35,Taiwan Region,5.4,10,23.74 N,122.49 E,A,-
30/01/2019,03:28:13,Philippine Islands Region,4.9,10,11.47N,125.78E,A,-
30/01/2019,01:46:54,"Chiapas, Maxico",5.0,177,17.56 N,93.92 W,A,-
30/01/2019,00:38:15,Fiji Islands Region,5.4,470,20.84S,178.12W,A,-
29/01/2019,23:35:17,Southern Peru.,5.2,113,20.10 S,73.26 W,A,-
29/01/2019,21:07:12,Colombia,5.4,10,3.08 N,75.74 W,A,-
29/01/2019,19:10:21,Afghanistan-Tajikistan Border Region.,4.7,82,36.86 N,71.30 E,M,-
29/01/2019,16:24:51,"Irian Jaya , Indonesia",5.4,10,3.41 S,139.65 E,A,-
29/01/2019,12:53:47,Poland,5.1,10,51.61 N,16.12 E,A,-
29/01/2019,09:36:36,Vanuatu Islands,5.0,10,13.45 S,167.85 E,A,-
29/01/2019,08:23:21,Fiji Islands Region,5.1,634,17.97 S,178.82 W,A,-
29/01/2019,07:50:14,Off Coast of Pakistan,3.0,37,24.59 N,62.37 E,M,-
29/01/2019,03:42:32,Off East Coast of Honshu Japan,5.5,77,34.91 N,141.19 E,A,-
29/01/2019,00:53:14,Oaxaca Mexico,5.4,10,16.39 N,94.92 W,A,-
28/01/2019,13:14:03,Xinjiang-Kashmir Border Region,3.8,80,36.60 N,75.07 E,M,-
28/01/2019,13:03:52,"Irian Jaya , Indonesia",5.4,10,3.61 S,139.47 E,A,-
28/01/2019,10:55:13,Fiji Islands Region,5.0,670,16.26 S,177.43 W,A,-
28/01/2019,09:00:47,Near Coast of Central Chile,5.3,10,35.63 S,72.87 W,A,-
28/01/2019,08:42:04,Ceram Sea,4.5,10,2.97 S,128.99 E,A,-
28/01/2019,06:06:25,"Mindanao, Philippines",4.8,122,9.72 N,126.36 E,A,-
28/01/2019,02:12:01,Southeast of Loyalty Islands,5.0,10,21.39 S,172.36 E,A,-
28/01/2019,02:11:32,Afghanistan-Tajikistan Border Region.,3.9,229,36.41 N,71.02 E,M,-
27/01/2019,15:32:22,Mariana Islands.,4.6,545,16.25 N,145.74 E,A,-
27/01/2019,13:43:42,Tajikistan,3.9,90,38.96 N,69.11 E,M,-
27/01/2019,10:16:27,Fiji Islands Region,5.5,546,20.04 S,177.83 W,A,-
27/01/2019,06:24:52,Samar Philippines,5.1,10,11.56 N,125.97 E,A,-
27/01/2019,05:20:12,Revilla GIgedo Islands Rgion,4.8,10,19.69 N,109.00 W,A,-
27/01/2019,04:37:02,Off west Coast of Northen Sumatra,4.8,10,1.64 N,95.01 E,A,-
27/01/2019,01:51:11,Fiji Islands Region,5.2,613,18.09 S,177.85 W,A,-
26/01/2019,23:12:14,Vanuatu Islands,4.1,10,20.48 S,169.63 E,A,-
26/01/2019,19:56:37,Fiji Islands Region,6.2,512,21.24 S,178.85 W,A,-
26/01/2019,17:07:39,Banda Sea,5.3,106,6.58 S,130.36 E,A,-
26/01/2019,16:36:11,"Northern Sumatra, Indonesia",4.6,60,1.76 N,97.92 E,A,-
26/01/2019,15:37:25,90 Km Southwest Of Sibi Baluchistan,2.9,10,28.91 N,67.34 E,M,-
26/01/2019,13:46:19,Ryukyu Islands Japan,5.2,10,29.40 N,130.31 E,A,-
26/01/2019,13:39:00,"Hindu Kush Region, Afghanistan",4.5,205,36.39 N,70.74 E,M,
26/01/2019,13:24:17,Afghanistan-Tajikistan Border Region.,4.0,168,36.60 N,71.06 E,M,-
26/01/2019,12:32:27,Colombia,5.6,10,3.07 N,75.72 W,A,-
26/01/2019,09:18:48,Tonga Islands Region,5.1,10,21.19 S,172.38 W,A,-
26/01/2019,08:22:58,"Near East Coast of Honshu, Japan",5.7,10,40.36 N,142.27 E,A,-
26/01/2019,08:12:48,Aru Islands Region Indonesia,6.1,10,5.57 S,133.82 E,A,-
26/01/2019,03:51:30,Solomon Islands,5.8,370,7.07 S,156.26 E,A,-
26/01/2019,03:40:21,Afghanistan-Tajikistan Border Region.,4.4,93,36.61N,71.04 E,M,-
26/01/2019,03:26:48,"Hindu Kush Region, Afghanistan",4.5,186,36.53 N,70.63 E,M,-
26/01/2019,02:07:15,Santa Cruz Islands,5.7,10,10.77 S,166.37 E,A,-
25/01/2019,22:42:26,27 Km Northwest of Dera Ghazi Khan,3.7,30,30.18 N,70.39 E,M,-
25/01/2019,21:22:45,"Kyushu, Japan",5.1,10,30.73 N,131.13 E,A,-
25/01/2019,19:42:03,Tonga Islands,5.7,10,15.31 S,174.29 W,A,-
25/01/2019,19:40:29,Vanuatu Islands,4.6,10,19.29 S,170.15 E,A,-
25/01/2019,05:01:04,"Hindu Kush Region, Afghanistan",4.0,234,36.57 N,69.63 E,M,-
25/01/2019,04:45:17,Near Coast of Peru,5.2,16,14.56 S,75.15 W,A,-
25/01/2019,01:55:46,"Southern Xinjiang, China",4.5,10,38.98 N,75.42 E,M,-
24/01/2019,22:42:25,85KM SE OF ZHOB,3.6,35,30.56 N,69.52 E,M,-
24/01/2019,21:02:16,50KM SE OF ZHOB,3.5,35,30.98 N,69.73 E,M,-
24/01/2019,16:45:48,"50 Km West of D.G.Khan, Balochistan.",3.0,10,30.09N,70.11E,M,-
24/01/2019,16:45:46,26KM SW OFLAYYAH,3.6,16,30.89 N,70.68 E,M,-
24/01/2019,14:30:49,"Dodecanese Islands, Greece",5.5,10,36.01 N,27.90 E,A,-
24/01/2019,11:32:34,Tonga Islands Region,5.6,10,22.61 S,174.53 W,A,-
24/01/2019,10:28:25,Near Coast of Central Chile,5.3,10,29.95 S,71.18 W,A,-
24/01/2019,08:34:56,Philippine Islands Region,5.4,59,19.28 N,121.14 E,A,-
24/01/2019,07:12:54,37KM EAST OF NOORPUR THAL,3.8,35,31.87 N,72.29 E,M,-
24/01/2019,07:12:51,40 Km Northwest OF jhang Punjab,4.0,20,31.62 N,72.05 E,M,-
24/01/2019,03:04:57,Northern Colombia,5.3,146,6.69N,73.19W,A,-
24/01/2019,02:26:39,Bismarck Sea,5.0,10,3.14 S,146.40 E,A,-
24/01/2019,00:52:44,Samoa Islands,5.1,10,14.61S,173.33W,A,-
23/01/2019,21:02:21,75Km North east of Sibbi,3.0,10,29.75 N,68.64 E,M,-
23/01/2019,17:53:11,Kermadec Islands New Zealand,5.2,123,30.45 S,178.11 W,A,-
23/01/2019,12:36:10,"South of Sumbawa, Indonesia",5.1,10,10.48 S,118.94 E,A,-
23/01/2019,11:39:01,"South of Sumbawa, Indonesia",5.7,10,10.39 S,118.88 E,A,-
23/01/2019,07:06:59,South of Kermadec Islands,5.1,10,33.30 S,177.90 W,A,-
23/01/2019,05:41:51,Southern Alaska,4.9,72,61.75 N,150.00 W,A,-
22/01/2019,20:12:07,Dodecanese Islands-Turkey Border Region,5.0,70,36.81N,28.02E,A,-
22/01/2019,19:01:51,Prince Edward Islands Region,6.5,48,42.97 S,41.97 E,A,-
22/01/2019,13:14:01,South of Fiji Islands,4.8,486,23.94 S,179.76 W,A,-
22/01/2019,12:52:24,Timor Sea,5.0,10,8.54 S,128.81 E,A,-
22/01/2019,10:34:32,Kashmir-India Border Region,3.5,14,32.64 N,76.48 E,M,-
22/01/2019,10:25:27,Kashmir-India Border Region,3.2,205,32.45 N,76.56 E,M,-
22/01/2019,10:25:24,Kashmir-India Border Region,3.6,10,32.82 N,76.80 E,M,-
22/01/2019,05:36:21,Afghanistan-Tajikistan Border Region.,3.9,133,36.89 N,71.00 E,M,-
22/01/2019,05:10:09,"Sumba Region, Indonesia",6.4,14,10.39 S,119.08 E,A,-
22/01/2019,04:43:17,Alaska Peninsula,5.5,107,58.53 N,155.50 W,A,-
22/01/2019,03:19:24,Taiwan Region.,5.1,10,22.24 N,121.77 E,A,-
22/01/2019,01:57:05,Sumba Region Indonesia.,5.2,60,10.17 S,119.15 E,A,-
21/01/2019,23:59:25,"Sumba Region, Indonesia",6.2,41,10.29 S,119.05 E,A,-
21/01/2019,16:48:01,"Talaud Islands, Indonesia.",5.1,70,3.75 N,126.59 E,A,-
21/01/2019,16:42:01,"Hindu Kush Region, Afghanistan.",3.9,77,35.49 N,66.54 E,M,-
21/01/2019,11:57:18,"Near Coast of Oaxaco, Mexico",5.6,10,15.53 N,94.67 W,A,-
21/01/2019,08:18:43,Northern Mid Atlantic Ridge,4.2,355,30.05 N,41.41 W,A,-
21/01/2019,01:36:35,Southeast of Loyalty Islands,5.3,10,21.75 S,169.20 E,A,-
21/01/2019,00:35:47,Southeast of Loyalty Islands,5.3,10,21.85 S,169.12 E,A,-
21/01/2019,00:24:13,"Off East Coast of Honshu, Japan",4.7,10,39.63 N,143.32 E,A,-
20/01/2019,17:43:02,"W. Caroline Islands, Micronesia",5.1,10,11.42 N,138.29 E,A,-
20/01/2019,15:49:51,Eastern Miditerranean Sea.,5.1,16,35.66 N,28.31 E,A,-
20/01/2019,15:06:40,"Xizang, China",4.6,10,30.23 N,87.46 E,A,-
20/01/2019,14:28:36,"Xizang, China",5.2,45,30.43N,87.53E,A,
20/01/2019,09:30:43,Mariana Islands.,4.9,110,14.20 N,145.26 E,A,-
20/01/2019,07:47:57,Celebes Sea.,5.1,10,5.91 N,121.75 E,A,-
20/01/2019,03:47:03,90KM NW OF WASHUK,4.1,46,28.27 N,64.10 E,M,-
20/01/2019,03:46:48,104 KM South East Of Sibbi.,3.3,10,28.88 N,68.63E,M,-
20/01/2019,02:55:34,Tajikistan-Xinjiang Border region,4.3,100,37.90N,74.81E,M,-
20/01/2019,01:33:21,"Jujuy, Province. Argentina",5.9,10,23.28 S,66.99 W,A,-
20/01/2019,01:32:46,Near coast of central Chile,6.2,10,30.01S,71.31W,A,-
20/01/2019,00:04:10,"Hindu Kush Region, Afghanistan",3.9,40,35.65N,70.96 E,M,-
19/01/2019,22:27:00,Southeastern Afghanistan,3.7,100,32.78N,68.44E,M,-
19/01/2019,21:57:05,Afghanistan-Tajikistan Border Region.,4.5,100,37.42 N,68.58 E,M,-
19/01/2019,18:37:09,"New Guinea, Papua New Guinea",5.0,10,5.28 S,142.30 E,A,-
19/01/2019,18:18:10,Central Kazakhstan,4.5,140,45.39 N,67.45 E,M,-
19/01/2019,18:09:49,South of Mariana Islands,5.0,10,12.34 N,144.12 E,A,-
19/01/2019,17:02:08,"Hindu Kush Region, Afghanistan",3.8,100,35.21 N,70.20 E,M,-
19/01/2019,14:03:09,Northern Molucca Sea,5.0,86,2.86 N,126.60 E,A,-
19/01/2019,09:37:57,Afghanistan-Tajikistan Border Region.,4.2,170,37.09 N,70.50 E,M,-
19/01/2019,05:26:48,"30 Km North West of Mansehra, KPK.",3.3,26,34.48 N,72.94 E,M,-
19/01/2019,04:14:39,Kermadec Islands Region,4.9,340,28.58 S,178.85 W,A,-
